epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.0550688019752503,0.6983333333333334,0.5457627990722657,0.9156,0.01
2,0.7614033576011657,0.8176666666666667,0.4898444301605225,0.9336,0.00998458666866564
3,0.6952539428499009,0.8447333333333333,0.45744401092529297,0.9458,0.009938441702975689
4,0.6512490698178609,0.8622888888888889,0.41918985447883605,0.961,0.009861849601988383
5,0.6217027889887492,0.8733333333333333,0.41357518138885496,0.9612,0.009755282581475769
6,0.5992997676213583,0.8819777777777777,0.40849428310394287,0.9632,0.009619397662556435
7,0.5820040885819329,0.8872,0.38821220059394834,0.972,0.00945503262094184
8,0.569035942141215,0.8926222222222222,0.37814126605987547,0.9744,0.009263200821770462
9,0.5559424507247077,0.8978888888888888,0.37321004967689514,0.9732,0.009045084971874739
10,0.5415960908465915,0.9034444444444445,0.3707163049221039,0.975,0.008802029828000156
11,0.5325484474605984,0.9078222222222222,0.3774372703075409,0.9702,0.008535533905932738
12,0.5231596723132663,0.9111111111111111,0.3623857563972473,0.9768,0.00824724024165092
13,0.5119770685831706,0.9164444444444444,0.35281613588333127,0.9808,0.007938926261462366
14,0.506513701555464,0.9163111111111111,0.3464515964984894,0.984,0.0076124928235797445
15,0.4979096220970154,0.9213777777777777,0.3482373028755188,0.984,0.007269952498697735
16,0.49011785012351144,0.9251555555555555,0.34212699918746947,0.9852,0.0069134171618254504
17,0.4832348006460402,0.9273111111111111,0.3339187784671783,0.9872,0.006545084971874739
18,0.4760540928840637,0.9279777777777778,0.3323745994567871,0.9888,0.006167226819279529
19,0.47708214168548585,0.9283555555555556,0.32899804286956785,0.989,0.005782172325201156
20,0.467990935643514,0.9322222222222222,0.3243990587711334,0.9926,0.005392295478639226
21,0.46395044876734415,0.9344444444444444,0.32661633944511415,0.9896,0.005000000000000001
22,0.4537863261752658,0.9376888888888889,0.32395266661643984,0.9902,0.004607704521360776
23,0.45334563698238795,0.9375555555555556,0.3221986904144287,0.9912,0.004217827674798847
24,0.4455426471816169,0.9410444444444445,0.3173313822746277,0.9924,0.0038327731807204736
25,0.44597232535150316,0.9406,0.3176235978126526,0.9938,0.003454915028125263
26,0.44346507612334357,0.9411333333333334,0.31686667504310606,0.9944,0.0030865828381745515
27,0.43503899070421853,0.9451777777777778,0.3135569349765778,0.994,0.0027300475013022664
28,0.4333311440520816,0.9460222222222222,0.3125476313114166,0.9954,0.002387507176420256
29,0.42950455639627244,0.9480444444444445,0.31206594529151915,0.9948,0.002061073738537635
30,0.4266283863385518,0.9486222222222223,0.3119517560958862,0.9954,0.0017527597583490825
31,0.4224919376479255,0.9497555555555556,0.31103105311393736,0.996,0.0014644660940672629
32,0.4214835121154785,0.9498,0.31119147009849546,0.9952,0.0011979701719998454
33,0.4191635438177321,0.9503777777777778,0.3108415233612061,0.9942,0.0009549150281252633
34,0.4208519614855448,0.9503111111111111,0.30978222885131834,0.9956,0.0007367991782295391
35,0.4175239030043284,0.9510666666666666,0.3092491774559021,0.9956,0.0005449673790581611
36,0.4170982238239712,0.9523333333333334,0.30952819447517393,0.9958,0.0003806023374435663
37,0.4162554974132114,0.9519333333333333,0.30869121966362,0.9962,0.00024471741852423234
38,0.42002589826583864,0.9504666666666667,0.3088820743560791,0.9958,0.00013815039801161723
39,0.41673910931481256,0.9519777777777778,0.3083853380203247,0.9962,6.155829702431172e-05
40,0.413335791015625,0.9527555555555556,0.3087323054790497,0.9956,1.5413331334360186e-05
