Epoch 054/120 | train_loss=0.8846 train_acc=0.8318 | val_loss=0.7000 val_acc=0.9184 | lr=0.059112
Epoch 055/120 | train_loss=0.8837 train_acc=0.8319 | val_loss=0.7401 val_acc=0.8982 | lr=0.057822
Epoch 056/120 | train_loss=0.8785 train_acc=0.8355 | val_loss=0.7453 val_acc=0.8974 | lr=0.056526
Epoch 057/120 | train_loss=0.8806 train_acc=0.8344 | val_loss=0.7069 val_acc=0.9118 | lr=0.055226
Epoch 058/120 | train_loss=0.8719 train_acc=0.8403 | val_loss=0.7530 val_acc=0.8914 | lr=0.053923
Epoch 059/120 | train_loss=0.8676 train_acc=0.8402 | val_loss=0.7650 val_acc=0.8856 | lr=0.052617
Epoch 060/120 | train_loss=0.8643 train_acc=0.8417 | val_loss=0.7123 val_acc=0.9086 | lr=0.051309
Epoch 061/120 | train_loss=0.8611 train_acc=0.8415 | val_loss=0.7162 val_acc=0.9118 | lr=0.050000
Epoch 062/120 | train_loss=0.8538 train_acc=0.8456 | val_loss=0.7107 val_acc=0.9110 | lr=0.048691
Epoch 063/120 | train_loss=0.8485 train_acc=0.8482 | val_loss=0.7320 val_acc=0.9036 | lr=0.047383
Epoch 064/120 | train_loss=0.8509 train_acc=0.8470 | val_loss=0.7102 val_acc=0.9086 | lr=0.046077
Epoch 065/120 | train_loss=0.8455 train_acc=0.8501 | val_loss=0.6871 val_acc=0.9206 | lr=0.044774
Epoch 066/120 | train_loss=0.8405 train_acc=0.8523 | val_loss=0.6788 val_acc=0.9278 | lr=0.043474
Epoch 067/120 | train_loss=0.8362 train_acc=0.8541 | val_loss=0.6950 val_acc=0.9152 | lr=0.042178
Epoch 068/120 | train_loss=0.8347 train_acc=0.8536 | val_loss=0.7110 val_acc=0.9106 | lr=0.040888
Epoch 069/120 | train_loss=0.8260 train_acc=0.8576 | val_loss=0.6822 val_acc=0.9244 | lr=0.039604
Epoch 070/120 | train_loss=0.8215 train_acc=0.8597 | val_loss=0.6512 val_acc=0.9390 | lr=0.038328
Epoch 071/120 | train_loss=0.8157 train_acc=0.8631 | val_loss=0.6764 val_acc=0.9264 | lr=0.037059
Epoch 072/120 | train_loss=0.8139 train_acc=0.8626 | val_loss=0.6648 val_acc=0.9336 | lr=0.035799
Epoch 073/120 | train_loss=0.8069 train_acc=0.8661 | val_loss=0.6496 val_acc=0.9368 | lr=0.034549
Epoch 074/120 | train_loss=0.8028 train_acc=0.8683 | val_loss=0.6691 val_acc=0.9322 | lr=0.033310
Epoch 075/120 | train_loss=0.7974 train_acc=0.8718 | val_loss=0.6519 val_acc=0.9374 | lr=0.032082
Epoch 076/120 | train_loss=0.7947 train_acc=0.8705 | val_loss=0.6301 val_acc=0.9466 | lr=0.030866
Epoch 077/120 | train_loss=0.7843 train_acc=0.8771 | val_loss=0.6309 val_acc=0.9466 | lr=0.029663
Epoch 078/120 | train_loss=0.7789 train_acc=0.8783 | val_loss=0.6359 val_acc=0.9410 | lr=0.028474
Epoch 079/120 | train_loss=0.7774 train_acc=0.8792 | val_loss=0.6376 val_acc=0.9438 | lr=0.027300
Epoch 080/120 | train_loss=0.7745 train_acc=0.8799 | val_loss=0.6367 val_acc=0.9438 | lr=0.026142
Epoch 081/120 | train_loss=0.7635 train_acc=0.8872 | val_loss=0.6239 val_acc=0.9502 | lr=0.025000
Epoch 082/120 | train_loss=0.7583 train_acc=0.8892 | val_loss=0.6282 val_acc=0.9476 | lr=0.023875
Epoch 083/120 | train_loss=0.7589 train_acc=0.8859 | val_loss=0.6063 val_acc=0.9568 | lr=0.022768
Epoch 084/120 | train_loss=0.7544 train_acc=0.8883 | val_loss=0.5959 val_acc=0.9612 | lr=0.021680
Epoch 085/120 | train_loss=0.7483 train_acc=0.8921 | val_loss=0.5867 val_acc=0.9680 | lr=0.020611
Epoch 086/120 | train_loss=0.7416 train_acc=0.8964 | val_loss=0.5891 val_acc=0.9644 | lr=0.019562
Epoch 087/120 | train_loss=0.7303 train_acc=0.9014 | val_loss=0.5873 val_acc=0.9662 | lr=0.018534
Epoch 088/120 | train_loss=0.7278 train_acc=0.9013 | val_loss=0.6015 val_acc=0.9590 | lr=0.017528
Epoch 089/120 | train_loss=0.7235 train_acc=0.9027 | val_loss=0.5882 val_acc=0.9650 | lr=0.016543
Epoch 090/120 | train_loss=0.7183 train_acc=0.9063 | val_loss=0.5820 val_acc=0.9656 | lr=0.015582
Epoch 091/120 | train_loss=0.7103 train_acc=0.9095 | val_loss=0.5908 val_acc=0.9644 | lr=0.014645
Epoch 092/120 | train_loss=0.7035 train_acc=0.9127 | val_loss=0.5690 val_acc=0.9742 | lr=0.013731
Epoch 093/120 | train_loss=0.6964 train_acc=0.9142 | val_loss=0.5556 val_acc=0.9806 | lr=0.012843
Epoch 094/120 | train_loss=0.6962 train_acc=0.9147 | val_loss=0.5579 val_acc=0.9798 | lr=0.011980
Epoch 095/120 | train_loss=0.6840 train_acc=0.9214 | val_loss=0.5625 val_acc=0.9772 | lr=0.011143
Epoch 096/120 | train_loss=0.6809 train_acc=0.9229 | val_loss=0.5460 val_acc=0.9826 | lr=0.010332
Epoch 097/120 | train_loss=0.6737 train_acc=0.9250 | val_loss=0.5443 val_acc=0.9834 | lr=0.009549
Epoch 098/120 | train_loss=0.6712 train_acc=0.9260 | val_loss=0.5431 val_acc=0.9862 | lr=0.008794
Epoch 099/120 | train_loss=0.6629 train_acc=0.9303 | val_loss=0.5477 val_acc=0.9822 | lr=0.008066
Epoch 100/120 | train_loss=0.6562 train_acc=0.9329 | val_loss=0.5411 val_acc=0.9864 | lr=0.007368
Epoch 101/120 | train_loss=0.6523 train_acc=0.9354 | val_loss=0.5320 val_acc=0.9888 | lr=0.006699
Epoch 102/120 | train_loss=0.6478 train_acc=0.9373 | val_loss=0.5330 val_acc=0.9884 | lr=0.006059
Epoch 103/120 | train_loss=0.6420 train_acc=0.9393 | val_loss=0.5301 val_acc=0.9898 | lr=0.005450
Epoch 104/120 | train_loss=0.6357 train_acc=0.9412 | val_loss=0.5256 val_acc=0.9920 | lr=0.004871
Epoch 105/120 | train_loss=0.6311 train_acc=0.9431 | val_loss=0.5248 val_acc=0.9918 | lr=0.004323
Epoch 106/120 | train_loss=0.6305 train_acc=0.9437 | val_loss=0.5234 val_acc=0.9920 | lr=0.003806
Epoch 107/120 | train_loss=0.6201 train_acc=0.9488 | val_loss=0.5227 val_acc=0.9932 | lr=0.003321
Epoch 108/120 | train_loss=0.6200 train_acc=0.9495 | val_loss=0.5220 val_acc=0.9926 | lr=0.002868
Epoch 109/120 | train_loss=0.6197 train_acc=0.9484 | val_loss=0.5200 val_acc=0.9934 | lr=0.002447
Epoch 110/120 | train_loss=0.6114 train_acc=0.9519 | val_loss=0.5207 val_acc=0.9934 | lr=0.002059
Epoch 111/120 | train_loss=0.6093 train_acc=0.9524 | val_loss=0.5198 val_acc=0.9934 | lr=0.001704
Epoch 112/120 | train_loss=0.6089 train_acc=0.9534 | val_loss=0.5173 val_acc=0.9952 | lr=0.001382
Epoch 113/120 | train_loss=0.6067 train_acc=0.9548 | val_loss=0.5170 val_acc=0.9950 | lr=0.001093
Epoch 114/120 | train_loss=0.6037 train_acc=0.9551 | val_loss=0.5170 val_acc=0.9952 | lr=0.000837
Epoch 115/120 | train_loss=0.6001 train_acc=0.9579 | val_loss=0.5165 val_acc=0.9948 | lr=0.000616
Epoch 116/120 | train_loss=0.5999 train_acc=0.9573 | val_loss=0.5166 val_acc=0.9950 | lr=0.000428
Epoch 117/120 | train_loss=0.5983 train_acc=0.9577 | val_loss=0.5165 val_acc=0.9948 | lr=0.000274
Epoch 118/120 | train_loss=0.5969 train_acc=0.9591 | val_loss=0.5163 val_acc=0.9948 | lr=0.000154
Epoch 119/120 | train_loss=0.5984 train_acc=0.9580 | val_loss=0.5166 val_acc=0.9946 | lr=0.000069
Epoch 120/120 | train_loss=0.5987 train_acc=0.9581 | val_loss=0.5165 val_acc=0.9948 | lr=0.000017
