epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.3686054279751247,0.1412,1.9628099098205567,0.2694,0.1
2,1.9838744756062825,0.28824444444444447,1.7853504024505615,0.3866,0.09998286624877786
3,1.7974293596903483,0.39053333333333334,1.5266927543640136,0.5356,0.09993147673772869
4,1.582044674788581,0.5046666666666667,1.3294728662490845,0.632,0.0998458666866564
5,1.4407233520295886,0.5716888888888889,1.1989416889190674,0.6964,0.09972609476841365
6,1.325711223072476,0.6306222222222222,1.1475628913879394,0.7238,0.09957224306869052
7,1.2533449305640327,0.6678888888888889,1.0451686811447143,0.7648,0.09938441702975688
8,1.200890013164944,0.6895333333333333,1.00272039604187,0.7852,0.09916274537819772
9,1.1653292632420857,0.7055777777777777,0.9509022048950195,0.8024,0.09890738003669027
10,1.1476661484188504,0.7138888888888889,1.0856253400802611,0.7506,0.0986184960198838
11,1.1263280406104195,0.7238222222222223,1.024275630378723,0.7742,0.09829629131445339
12,1.1080235674540202,0.7338,0.9518748018264771,0.8018,0.09794098674340963
13,1.0962447857962714,0.7379333333333333,0.927135080909729,0.8158,0.09755282581475766
14,1.084468997277154,0.742,0.9782982749938964,0.7976,0.0971320745546089
15,1.0686468793021309,0.7518444444444444,0.9585733631134034,0.8036,0.09667902132486006
16,1.0587296916325888,0.7551111111111111,0.9890238430023194,0.7878,0.09619397662556431
17,1.050892254808214,0.7590888888888889,0.9359183206558227,0.8156,0.09567727288213002
18,1.0384754699601066,0.7643555555555556,0.9382571548461914,0.809,0.09512926421749301
19,1.0322313529544407,0.7669111111111111,0.8491244497299194,0.8514,0.09455032620941838
20,1.026939906671312,0.7679555555555555,0.8354866930007935,0.8572,0.09394085563309826
21,1.016217140812344,0.7731777777777777,0.8614926858901978,0.8424,0.09330127018922194
22,1.0127677616119384,0.7746,0.8901614088058472,0.8332,0.0926320082177046
23,1.011432268608941,0.7774666666666666,0.8779013572692871,0.8356,0.0919335283972712
24,1.0045932588789197,0.7784444444444445,0.8221799362182617,0.8572,0.09120630943110078
25,1.0009713606092665,0.7810666666666667,0.8506934837341309,0.8468,0.09045084971874737
26,0.9952487214936151,0.7809555555555555,0.8426415550231934,0.8538,0.08966766701456175
27,0.9871340677897136,0.7851333333333333,0.8244294178009033,0.8644,0.08885729807284853
28,0.9772998495313856,0.7884444444444444,0.8534103655815124,0.8496,0.08802029828000153
29,0.9758508712344699,0.7924,0.8499340240478516,0.8538,0.08715724127386969
30,0.9743799806382921,0.7923333333333333,0.885206649017334,0.8358,0.08626871855061435
31,0.9758048208448622,0.7923555555555556,0.7723714427947999,0.883,0.08535533905932735
32,0.9663863842858209,0.7952222222222223,0.8718359943389893,0.8432,0.08441772878468767
33,0.9626840819252862,0.7983333333333333,0.9278673501968384,0.8136,0.08345653031794288
34,0.9590858811060587,0.7994,0.8624301343917846,0.843,0.08247240241650916
35,0.9522407611634996,0.8021777777777778,0.9555814262390137,0.8106,0.08146601955249186
36,0.955972372341156,0.8007111111111112,0.8398872873306275,0.853,0.08043807145043602
37,0.9437015549235874,0.8060666666666667,0.8157068651199341,0.8616,0.07938926261462365
38,0.9480344274308946,0.8042444444444444,0.813028058052063,0.869,0.07832031184624162
39,0.9452578327178955,0.8059333333333333,0.7857446243286133,0.8762,0.07723195175075134
40,0.9397875654432508,0.8083111111111111,0.853100283241272,0.8474,0.07612492823579743
41,0.9412622812906901,0.8068888888888889,0.7710626142501831,0.8868,0.07499999999999998
42,0.9336862012015449,0.8114222222222223,0.7716163223266601,0.8832,0.0738579380129804
43,0.9226593767589993,0.8160222222222222,0.869039782333374,0.8386,0.07269952498697732
44,0.9274954040739272,0.8135777777777777,0.7858696140289306,0.8742,0.07152555484041474
45,0.9228199705441793,0.8137555555555556,0.7568584041595459,0.8906,0.07033683215379
46,0.9183691449483236,0.8171555555555555,0.8238127449035645,0.863,0.06913417161825447
47,0.9132107995351155,0.8205333333333333,0.7440927812576293,0.9004,0.067918397477265
48,0.9092648660341899,0.8219333333333333,0.7904222778320312,0.8814,0.06669034296168852
49,0.9081753931151496,0.8231555555555555,0.734518034362793,0.8994,0.06545084971874734
50,0.8973429019292196,0.8278666666666666,0.8651161840438842,0.8418,0.06420076723519612
51,0.9044592826631334,0.8240888888888889,0.7651787519454956,0.8872,0.06294095225512601
52,0.8952920223765903,0.8269111111111112,0.7136123707771301,0.9104,0.061672268192795254
53,0.8930187338935004,0.8266888888888889,0.7406788848876953,0.8996,0.060395584540887934
54,0.8846062593989902,0.8318444444444445,0.7000492315292358,0.9184,0.05911177627460735
55,0.8837393660439385,0.8319333333333333,0.7400539596557617,0.8982,0.05782172325201152
56,0.8785099115159777,0.8354888888888888,0.7453114788055419,0.8974,0.05652630961100255
57,0.8805869387732612,0.8344,0.706892162322998,0.9118,0.05522642316338265
58,0.8718883067448934,0.8402888888888889,0.7530336818695068,0.8914,0.053922954786392224
59,0.86756353386773,0.8402444444444445,0.7650072174072265,0.8856,0.052616797812147155
60,0.8643164561589559,0.8416888888888889,0.7122989916801452,0.9086,0.05130884741539362
61,0.8611293001068963,0.8414888888888888,0.7162117309570313,0.9118,0.049999999999999975
62,0.8537606496598985,0.8456444444444444,0.7106553103446961,0.911,0.048691152584606316
63,0.8485112788730198,0.8482444444444445,0.7319988077163696,0.9036,0.04738320218785279
64,0.8509405704074435,0.8470444444444445,0.710223888874054,0.9086,0.04607704521360773
65,0.845522007868025,0.8501111111111112,0.6871325939178466,0.9206,0.044773576836617306
66,0.8404745468245612,0.8522666666666666,0.6788334663391113,0.9278,0.043473690388997406
67,0.8361558149125841,0.8540666666666666,0.6950366409301758,0.9152,0.04217827674798843
68,0.834731441391839,0.8536,0.7109851573944092,0.9106,0.04088822372539261
69,0.8259768159654406,0.8576,0.6821682779312134,0.9244,0.039604415459112
70,0.821505884636773,0.8597111111111111,0.6512350980758667,0.939,0.0383277318072047
71,0.8157142367680867,0.8631111111111112,0.676377486038208,0.9264,0.03705904774487394
72,0.8138577530119154,0.8625777777777778,0.6647586161613465,0.9336,0.03579923276480384
73,0.8068972632090251,0.8660666666666667,0.6495820665359497,0.9368,0.034549150281252605
74,0.8027627068625556,0.8682666666666666,0.6691132427215576,0.9322,0.03330965703831143
75,0.7973945713467068,0.8718444444444444,0.6519258226394653,0.9374,0.03208160252273496
76,0.7947375567118327,0.8705333333333334,0.6300756740570068,0.9466,0.030865828381745487
77,0.7842783669047886,0.8771111111111111,0.6309279850006103,0.9466,0.029663167846209974
78,0.7789072757932874,0.8783333333333333,0.6359057851791382,0.941,0.02847444515958523
79,0.7774432335323758,0.8791777777777777,0.6375869338989257,0.9438,0.02730047501302264
80,0.7745214725070529,0.8799111111111111,0.6367415892601013,0.9438,0.026142061987019554
81,0.7634662668863932,0.8872,0.6238981477737426,0.9502,0.024999999999999988
82,0.7582938530392117,0.8891777777777777,0.6282488578796387,0.9476,0.023875071764202536
83,0.7589396395577325,0.8858888888888888,0.6063485266685485,0.9568,0.022768048249248638
84,0.7544370776282416,0.8883111111111112,0.5958986783981324,0.9612,0.021679688153758325
85,0.7483379208034939,0.8921111111111111,0.5866845911026001,0.968,0.02061073738537633
86,0.7415960862053765,0.8963555555555556,0.5891158648490906,0.9644,0.01956192854956395
87,0.7303295879787869,0.9013777777777778,0.5872768754959107,0.9662,0.01853398044750812
88,0.7278008185704549,0.9012666666666667,0.6014725056648255,0.959,0.017527597583490807
89,0.7234573747105069,0.9027333333333334,0.5881975042343139,0.965,0.01654346968205709
90,0.7183162935786777,0.9062666666666667,0.5819901773452759,0.9656,0.015582271215312278
91,0.7103046097861396,0.9094666666666666,0.5907853966712951,0.9644,0.014644660940672613
92,0.7034559245003594,0.9127111111111111,0.5689831891059876,0.9742,0.013731281449385607
93,0.6963683669302199,0.9142222222222223,0.5555876007080078,0.9806,0.012842758726130287
94,0.6961906731923421,0.9147111111111111,0.5578706687927246,0.9798,0.011979701719998442
95,0.6839685428513421,0.9213777777777777,0.5625348464012146,0.9772,0.011142701927151444
96,0.6808800369792515,0.9229333333333334,0.5460195562362671,0.9826,0.010332332985438225
97,0.6736601557837593,0.9250444444444444,0.5443191701889039,0.9834,0.009549150281252623
98,0.6712289699766371,0.9260222222222222,0.5431344655990601,0.9862,0.008793690568899218
99,0.6628794788360596,0.9302666666666667,0.5476514211654663,0.9822,0.008066471602728796
100,0.6562453291045295,0.9328666666666666,0.5410852982521057,0.9864,0.007367991782295385
101,0.6523097029897902,0.9354444444444444,0.532029575920105,0.9888,0.006698729810778059
102,0.6478167081938849,0.9373333333333334,0.532959024810791,0.9884,0.006059144366901731
103,0.6420060991181268,0.9393111111111111,0.5300806345939636,0.9898,0.005449673790581606
104,0.6357464800834656,0.9412222222222222,0.5255988773345948,0.992,0.004870735782506975
105,0.6310595828798082,0.9431333333333334,0.5248245025634766,0.9918,0.0043227271178699475
106,0.630545527712504,0.9437111111111111,0.5234102605819703,0.992,0.00380602337443566
107,0.6201256536271837,0.9488444444444445,0.5227082080841065,0.9932,0.00332097867513991
108,0.6200418270640903,0.9494888888888889,0.5220358308792115,0.9926,0.002867925445391082
109,0.6197363060633342,0.9484222222222223,0.5200202571868896,0.9934,0.002447174185242322
110,0.6113571683247884,0.9518888888888889,0.5207095376968384,0.9934,0.0020590132565903516
111,0.6093178573078579,0.9523555555555555,0.5197575005531311,0.9934,0.0017037086855465832
112,0.6089216988245646,0.9533777777777778,0.5172998057365418,0.9952,0.0013815039801161712
113,0.6067413070996602,0.9547555555555556,0.5170472579002381,0.995,0.0010926199633097147
114,0.6036819732454088,0.9550666666666666,0.516967830657959,0.9952,0.000837254621802274
115,0.6000874176449246,0.9578888888888889,0.5164735586166381,0.9948,0.0006155829702431166
116,0.5999215570979648,0.9572888888888889,0.5166426465034485,0.995,0.0004277569313094806
117,0.5983355890168084,0.9577333333333333,0.5164653618812561,0.9948,0.00027390523158632977
118,0.5969119019084507,0.9591111111111111,0.5162501800537109,0.9948,0.0001541333133436017
119,0.5983779276635912,0.9579777777777778,0.5165822971343994,0.9946,6.852326227130829e-05
120,0.5986858463075426,0.9580666666666666,0.5164838184356689,0.9948,1.7133751222136994e-05
